"Call ID","Agent Version","Started At","Duration (s)",Status,"Disconnect Reason","Function Calls",Errors,"Has check_availability"
call_85b501f4511218473fc0cec15f8,16,"2025-10-23 18:51:16",54.9,ended,user_hangup,0,0,No
call_4adba0de8ba9f8ea160d953212a,12,"2025-10-23 17:53:15",60,ended,user_hangup,0,0,No
call_2ac45a2c9170c5a2ce28a10b7b8,12,"2025-10-23 17:18:25",81.8,ended,user_hangup,0,0,No
call_336ce40c8f5ec4e080a7cc0328b,12,"2025-10-23 17:03:02",67.9,ended,agent_hangup,0,0,No
call_be0a6a6fbf16bb28506586300da,11,"2025-10-23 15:42:20",55.7,ended,agent_hangup,0,0,No
call_c6664235498f27def0806193b0b,6,"2025-10-23 15:19:44",4,ended,user_hangup,0,0,No
call_4f58423ba7149c34eb863650512,4,"2025-10-23 15:04:55",6.8,ended,user_hangup,0,0,No
call_05c04d9aad078e8a9771d9184e7,1,"2025-10-23 15:03:02",6.2,ended,user_hangup,0,0,No
call_e568a320879bb206bebb14780e4,24,"2025-10-23 14:10:15",74.2,ended,user_hangup,0,0,No
call_0e06ce35991516bd9fce33dffad,24,"2025-10-23 07:58:29",46.3,ended,agent_hangup,0,0,No
call_1daa4cf44a51ce1960ae2bee208,24,"2025-10-22 23:11:51",51.4,ended,user_hangup,0,0,No
call_99433009c116f9900c4063e25cf,24,"2025-10-22 23:03:21",50.9,ended,user_hangup,0,0,No
call_7438cce7f79df49978e8149cc58,24,"2025-10-22 22:30:23",110.9,ended,agent_hangup,0,0,No
call_bf0749145c372b68281c2841639,20,"2025-10-22 22:02:26",91.6,ended,agent_hangup,0,0,No
call_91ce617cf9d48b8131af126b938,18,"2025-10-22 21:44:45",107.6,ended,user_hangup,0,0,No
call_21f7a5ed62ec76c0b0a67979701,18,"2025-10-22 21:27:45",76.2,ended,user_hangup,0,0,No
call_fb1866fd8c508082779b139a031,13,"2025-10-22 20:55:01",36.8,ended,user_hangup,0,0,No
call_ce96007613aa37f4f37f57cea35,13,"2025-10-22 20:52:58",91.8,ended,user_hangup,0,0,No
call_4ead7d715a8358fd409817ad2e4,13,"2025-10-22 20:38:02",42.8,ended,user_hangup,0,0,No
call_12ba7b38559c35de81e3b80d6ea,13,"2025-10-22 20:20:31",87.9,ended,user_hangup,0,0,No
call_dceb4c301f9d43ed31f38fa9479,13,"2025-10-22 19:53:55",65,ended,user_hangup,0,0,No
call_193322bcf9e909d68db83c1cc80,13,"2025-10-22 19:45:35",68.7,ended,user_hangup,0,0,No
call_0ad82a90b5c840042bf8dddd7d6,13,"2025-10-22 19:44:50",3.2,ended,user_hangup,0,0,No
call_24067fe005b6d971954cc629c39,13,"2025-10-22 19:32:56",74.4,ended,user_hangup,0,0,No
call_c8508a020454def101b877a9664,13,"2025-10-22 19:13:41",31.6,ended,user_hangup,0,0,No
call_5783263f5d32f1f96db60e996fe,12,"2025-10-22 19:04:42",20.4,ended,user_hangup,0,0,No
call_ad7337cc34af7472953488cad4f,11,"2025-10-22 18:42:21",184.2,ended,user_hangup,0,0,No
call_eb2776c61e93b4ce72ecdfd768e,10,"2025-10-22 18:28:34",140.8,ended,user_hangup,0,0,No
call_5401ce661fac6b20983479effd8,9,"2025-10-22 17:09:23",18.9,ended,user_hangup,0,0,No
call_a7cfc3497823a8596038945be37,8,"2025-10-22 16:57:05",56.7,ended,agent_hangup,0,0,No
call_08eb96e3e45e3e95b7e91cb3c74,7,"2025-10-22 16:26:30",91.6,ended,user_hangup,0,0,No
call_0e6ff1159fc5e53833d3d4c34c4,6,"2025-10-22 16:15:05",133.1,ended,user_hangup,0,0,No
call_bda1cc57a991c74e82f161af95f,5,"2025-10-22 16:08:05",15.3,ended,user_hangup,0,0,No
call_426e8c64e59230f793ed1ca5698,4,"2025-10-22 15:47:41",119.1,ended,user_hangup,0,0,No
call_e7d5093b9f212e16d070dcf54ee,133,"2025-10-22 10:35:23",86.1,ended,user_hangup,0,0,No
temp_1761122080_9e0002da,N/A,"2025-10-22 10:34:40",N/A,inbound,N/A,0,0,No
call_59a4c73a40ea7724336e86336bf,132,"2025-10-22 09:10:00",85.4,ended,user_hangup,0,0,No
call_ed1ec98075cf10dde9a1d4cdce1,132,"2025-10-22 09:00:43",60.1,ended,user_hangup,0,0,No
call_b9c76ab616e37a8fcd4886b6695,132,"2025-10-22 08:59:28",61.5,ended,user_hangup,0,0,No
call_6a122371fe42b5a0bb726c1fc46,131,"2025-10-22 08:39:18",173.9,ended,user_hangup,0,0,No
call_31a63061091819657880ca4b963,130,"2025-10-22 08:00:35",136.4,ended,user_hangup,0,0,No
call_afebf505e7b9e9d44e9e038a7e7,130,"2025-10-22 07:44:50",60.9,ended,user_hangup,0,0,No
call_23fac465f81b8eaab34e5ec3818,129,"2025-10-22 07:27:37",51.3,ended,user_hangup,0,0,No
call_c039f700d984d5cd555a683680b,128,"2025-10-21 22:51:56",66.3,ended,user_hangup,0,0,No
call_f43a8fecdc897c99d6fb8bf921f,128,"2025-10-21 22:36:59",53.5,ended,user_hangup,0,0,No
call_7896b341335bb4b8b54754e6ab6,128,"2025-10-21 22:30:24",164.6,ended,user_hangup,0,0,No
call_9e0af7c94eeccb5a3d0febbec39,127,"2025-10-21 22:27:45",60.8,ended,user_hangup,0,0,No
call_c3bbcb1f916e199aa30b2638e21,127,"2025-10-21 21:59:18",29.2,ended,user_hangup,0,0,No
call_9a29ff83540a98a7503075ff7b5,127,"2025-10-21 21:50:37",29.7,ended,user_hangup,0,0,No
call_9610fb9820dd8acfdd257410538,127,"2025-10-21 21:40:36",73.9,ended,user_hangup,0,0,No
call_06d8ea9c7d52b283fbc1b244e86,127,"2025-10-21 21:08:42",56.6,ended,user_hangup,0,0,No
call_4f5cd0c5a4f56acee05b51e6b7c,127,"2025-10-21 20:59:05",60.1,ended,user_hangup,0,0,No
call_b6aa1c25b1acb3d179dd4409b40,127,"2025-10-21 20:15:04",68.1,ended,user_hangup,0,0,No
call_fb447d0f0375c52daaa3ffe4c51,127,"2025-10-21 16:13:22",74.9,ended,user_hangup,0,0,No
call_3fc59ec0a0779eb961cab3f9bc0,127,"2025-10-21 14:03:11",31.2,ended,user_hangup,0,0,No
call_0753858a61d601ae2730aa5674e,127,"2025-10-21 13:04:42",135.5,ended,user_hangup,0,0,No
call_627e2380d3212e139c3ebad074d,126,"2025-10-20 20:34:59",92.9,ended,user_hangup,0,0,No
call_78715207f59e6d4e67724da1a94,126,"2025-10-20 14:10:49",115.6,ended,user_hangup,0,0,No
call_b8ac35bd0f2aca7c8274e8602dd,126,"2025-10-20 14:10:05",23.7,ended,user_hangup,0,0,No
call_ff280b2584ff89af64792adaf26,126,"2025-10-20 12:58:58",55.8,ended,user_hangup,0,0,No
call_8930bfd5bdac425536da8241ff4,126,"2025-10-20 11:09:55",53.2,ended,user_hangup,0,0,No
call_388b9234bc4aa763f0ab55074a9,126,"2025-10-20 10:30:55",45.1,ended,user_hangup,0,0,No
call_4aff7d7e24fdd016d796c7e851e,126,"2025-10-20 09:57:15",48.9,ended,user_hangup,0,0,No
call_314ab9c2b865bf8cd417d4dcd17,124,"2025-10-20 08:27:22",98.4,ended,user_hangup,0,0,No
call_51cb16b3da5a2103d9ced505ca5,124,"2025-10-20 08:03:07",64.5,ended,user_hangup,0,0,No
call_9f0892e6274fff1ff7eab151e3e,123,"2025-10-20 07:48:09",40.2,ended,user_hangup,0,0,No
